DAP,LAID_DSSAT,LAID_Python,LAID_Diff,LWAD_DSSAT,LWAD_Python,LWAD_Diff,SWAD_DSSAT,SWAD_Python,SWAD_Diff,GWAD_DSSAT,GWAD_Python,GWAD_Diff,RWAD_DSSAT,RWAD_Python,RWAD_Diff,VWAD_DSSAT,VWAD_Python,VWAD_Diff,G#AD_DSSAT,G#AD_Python,G#AD_Diff,RDPD_DSSAT,RDPD_Python,RDPD_Diff
42,0.512,0.44303362747567654,0.06896637252432347,334,283.508448808894,50.491551191106,397,373.60346131525836,23.396538684741643,3,1.2588315419224658,1.7411684580775342,418,348.46072732534395,69.53927267465605,731,657.1119101241524,73.88808987584764,322,154.3570060652803,167.6429939347197,1.07,1.175,-0.10499999999999998
43,0.531,0.4621796942505664,0.06882030574943365,345,296.5028634230168,48.49713657698322,408,384.98425962975,23.01574037025,4,1.7007828307865243,2.2992171692134757,431,360.52373628166697,70.47626371833303,754,681.4871230527667,72.51287694723328,335,169.45026949048426,165.54973050951574,1.09,1.2,-0.10999999999999988
44,0.545,0.48817409318720484,0.0568259068127952,350,308.0908613527409,41.90913864725911,413,394.7530682360932,18.246931763906787,6,2.2424847619387545,3.7575152380612455,435,368.78222636191487,66.21777363808513,763,702.8439295888342,60.15607041116584,343,186.89241135732684,156.10758864267316,1.12,1.225,-0.10499999999999998
45,0.564,0.5115820247360664,0.05241797526393355,358,319.6391523147789,38.360847685221074,421,406.09802060257505,14.901979397424952,7,2.7691074648602285,4.2308925351397715,444,384.7824208576889,59.21757914231108,780,725.737172917354,54.26282708264603,356,228.6523898348298,127.34761016517021,1.15,1.25,-0.10000000000000009
46,0.584,0.542437724632732,0.041562275367267976,367,336.0290475470381,30.97095245296191,430,420.3799280717419,9.620071928258085,4,3.3296032251030514,0.6703967748969486,453,400.80089734553127,52.19910265446873,798,756.40897561878,41.591024381219995,374,257.1261984232317,116.8738015767683,1.17,1.275,-0.10499999999999998
47,0.591,0.5590056528691457,0.03199434713085425,368,342.93621404250786,25.063785957492144,432,426.27276068161865,5.727239318381351,5,3.9833267686078635,1.0166732313921365,453,403.40010094235987,49.59989905764013,800,769.2089747241264,30.791025275873608,259,266.1412984267294,-7.141298426729406,1.2,1.3,-0.10000000000000009
48,0.603,0.5715649424952725,0.031435057504727526,375,350.5658840027648,24.43411599723521,438,432.76168552296014,5.238314477039864,6,4.130003304664873,1.8699966953351268,459,406.80755277188985,52.192447228110154,813,783.3275695257249,29.672430474275075,275,247.26424231048014,27.735757689519858,1.22,1.325,-0.10499999999999998
49,0.629,0.5901671750138577,0.03883282498614227,395,366.1966191451864,28.80338085481361,457,446.0955327254748,10.904467274525189,6,4.209802042406466,1.7901979575935343,481,420.36261356974603,60.63738643025397,852,812.2921518706612,39.7078481293388,290,241.92230790728456,48.07769209271544,1.24,1.35,-0.1100000000000001
50,0.651,0.6019005941162261,0.04909940588377393,416,378.70766039555616,37.29233960444384,476,456.5910832749189,19.4089167250811,7,4.049161931482364,2.950838068517636,505,428.96061834953747,76.03938165046253,892,835.2987436704751,56.70125632952488,290,238.17524765573478,51.82475234426522,1.25,1.375,-0.125
51,0.679,0.6188376052890483,0.06016239471095175,436,392.99849194729654,43.00150805270346,495,469.64118100916863,25.358818990831367,7,4.099655070554377,2.900344929445623,528,444.9411543536226,83.05884564637739,932,862.6396729564653,69.36032704353465,322,225.6690531880787,96.33094681192131,1.27,1.4,-0.1299999999999999
52,0.706,0.641238586417819,0.06476141358218102,454,410.3813527037514,43.61864729624858,512,485.69176095940827,26.30823904059173,8,4.138444666754331,3.8615553332456694,547,466.5754524317129,80.4245475682871,966,896.0731136631596,69.92688633684043,343,226.5604899625487,116.4395100374513,1.29,1.425,-0.135
53,0.732,0.676077245726394,0.055922754273605935,468,432.5109802218399,35.48901977816013,526,504.48644660322896,21.513553396771044,2,4.139168687939344,-2.1391686879393443,563,487.53607272288497,75.46392727711503,995,936.9974268250687,58.002573174931285,354,241.48219031614937,112.51780968385063,1.31,1.45,-0.1399999999999999
54,0.759,0.7172236253671136,0.041776374632886415,479,453.81959517462155,25.180404825378446,538,522.0933854007177,15.906614599282307,2,4.133549815458687,-2.1335498154586867,574,504.82045970163335,69.17954029836665,1017,975.9129805753391,41.087019424660866,170,264.4084435574222,-94.40844355742217,1.34,1.475,-0.135
55,0.787,0.7548807744748885,0.03211922552511148,492,473.6213942031808,18.378605796819215,550,539.6454558766255,10.354544123374467,3,4.082632499447841,-1.0826324994478407,588,526.3647376197904,61.63526238020961,1042,1013.2668500798063,28.733149920193682,232,273.07952083551305,-41.07952083551305,1.37,1.5,-0.1299999999999999
56,0.817,0.7931764444540192,0.0238235555459807,507,496.6293322501206,10.370667749879374,566,560.1812675959981,5.818732404001935,2,4.0240289231155755,-2.0240289231155755,604,553.2505307555066,50.74946924449341,1073,1056.8105998461187,16.18940015388125,265,298.8283771443117,-33.82837714431167,1.39,1.525,-0.135
57,0.849,0.8435668504202815,0.005433149579718521,521,524.3603873544596,-3.36038735445959,580,583.1306767463998,-3.1306767463997858,3,4.024754428403648,-1.0247544284036483,619,577.7751405685913,41.22485943140873,1101,1107.4910641008594,-6.491064100859376,229,340.6927554729822,-111.69275547298218,1.42,1.55,-0.13000000000000012
58,0.879,0.8897689144859633,-0.010768914485963288,535,550.5800809070165,-15.580080907016509,594,605.5101135359537,-11.510113535953678,4,4.098010266577999,-0.09801026657799916,634,603.8963558760516,30.103644123948357,1129,1156.0901944429702,-27.090194442970187,267,392.181649880927,-125.18164988092701,1.44,1.575,-0.135
59,0.894,0.9165935557829944,-0.02259355578299438,541,565.762148994816,-24.762148994816016,601,618.1716587527038,-17.17165875270382,5,4.191438064333538,0.8085619356664617,640,613.5607638872277,26.439236112772278,1142,1183.93380774752,-41.93380774751995,300,436.6707463355603,-136.6707463355603,1.47,1.6,-0.13000000000000012
60,0.897,0.9223305036277981,-0.025330503627798096,542,569.5643072546168,-27.56430725461678,603,621.7972610176515,-18.797261017651522,3,4.316444908564809,-1.316444908564809,640,611.4952344570843,28.50476554291572,1145,1191.3615682722684,-46.361568272268414,370,509.4634219673021,-139.4634219673021,1.49,1.625,-0.135
61,0.923,0.942965538673013,-0.019965538673012984,562,589.6399149500296,-27.639914950029606,622,638.3156272154123,-16.31562721541229,4,4.440498106940321,-0.4404981069403213,662,626.2134539515636,35.786546048436435,1185,1227.9555421654418,-42.955542165441784,291,510.3571851657097,-219.35718516570972,1.51,1.65,-0.1399999999999999
62,0.952,0.9586758916869857,-0.006675891686985791,586,606.7100642710819,-20.710064271081933,645,652.4634856145151,-7.463485614515093,4,4.466990876063816,-0.4669908760638162,687,637.7677289989599,49.23227100104009,1231,1259.1735498855971,-28.17354988559714,398,590.2640961721062,-192.26409617210618,1.52,1.675,-0.15500000000000003
63,0.979,0.9725166974699089,0.006483302530091106,610,622.6206113680292,-12.620611368029245,667,665.7026493219727,1.2973506780273283,3,4.543247843328721,-1.5432478433287207,713,648.0880152030738,64.91198479692616,1277,1288.323260690002,-11.323260690001916,398,605.2756039422064,-207.27560394220643,1.53,1.7,-0.16999999999999993
64,0.994,0.9746271101740349,0.01937288982596508,623,626.401582476234,-3.4015824762340117,679,669.3991588650044,9.600841134995562,3,4.607145019090883,-1.6071450190908827,725,646.0814961578822,78.91850384211784,1302,1295.8007413412386,6.199258658761437,395,600.8923380014759,-205.89233800147588,1.54,1.725,-0.18500000000000005
65,1.025,0.9934889572273878,0.031511042772612075,647,645.4298020545847,1.570197945415316,702,685.0898356167113,16.910164383288702,4,4.986031556397016,-0.9860315563970161,751,659.5817375665584,91.41826243344156,1349,1330.519637671296,18.480362328703904,395,564.0292343535742,-169.02923435357422,1.56,1.75,-0.18999999999999995
66,1.056,1.0124564077386318,0.04354359226136828,671,664.3816811875423,6.618318812457687,725,700.7264282638832,24.273571736116764,4,5.498154834178373,-1.498154834178373,776,672.9354676857516,103.06453231424837,1396,1365.1081094514257,30.891890548574338,459,588.198629038204,-129.198629038204,1.57,1.775,-0.20499999999999985
67,1.085,1.032416275547276,0.05258372445272386,694,683.7690261626223,10.230973837377746,746,716.7107416804002,29.289258319599753,4,6.005682711435497,-2.0056827114354974,800,686.6617690333615,113.33823096663855,1440,1400.4797678430225,39.5202321569775,459,538.2275549214105,-79.2275549214105,1.59,1.8,-0.20999999999999996
68,1.116,1.0573473105126532,0.05865268948734692,716,706.1808836889741,9.819116311025937,768,735.0634826387294,32.9365173612706,4,6.655634351257257,-2.655634351257257,824,703.3442243170437,120.65577568295635,1485,1441.2443663277033,43.75563367229665,465,546.3759612664321,-81.37596126643211,1.61,1.825,-0.21499999999999986
69,1.144,1.0842660763468204,0.05973392365317953,735,728.8997894925924,6.10021050740761,786,753.6550841365075,32.344915863492474,6,7.238748414634152,-1.238748414634152,843,720.2400559310685,122.75994406893153,1521,1482.5548736291,38.44512637089997,518,493.1508525227026,24.84914747729738,1.63,1.85,-0.2200000000000002
70,1.175,1.1041061264126624,0.07089387358733767,759,749.1247426281305,9.875257371869452,809,770.3124188723046,38.68758112769535,5,7.509324133466242,-2.509324133466242,868,734.5796864672404,133.42031353275956,1568,1519.4371615004352,48.562838499564805,583,511.7514708349496,71.2485291650504,1.64,1.875,-0.2350000000000001
71,1.207,1.1341360592300085,0.07286394076999159,781,776.348512106747,4.651487893253034,831,792.4043054189516,38.595694581048406,6,7.871733293876688,-1.8717332938766882,890,755.7602512150409,134.23974878495915,1612,1568.7528175256984,43.24718247430155,548,572.2514071990718,-24.251407199071764,1.66,1.9,-0.24
72,1.235,1.1711499680125719,0.06385003198742822,798,808.9931824245298,-10.993182424529778,849,819.1155739686532,29.884426031346834,8,8.258454466776705,-0.2584544667767048,909,784.5382594140626,124.46174058593738,1648,1628.108756393183,19.891243606816943,601,607.7794222418842,-6.779422241884163,1.68,1.925,-0.2450000000000001
73,1.248,1.2069570887040095,0.04104291129599047,804,832.1421786034155,-28.14217860341546,856,838.0561279400888,17.9438720599112,10,8.40928959115108,1.5907104088489206,913,801.4299639101027,111.57003608989726,1660,1670.1983065435045,-10.198306543504486,657,651.5924087053857,5.407591294614349,1.71,1.95,-0.24
74,1.261,1.2469907063380212,0.014009293661978672,806,853.963823276532,-47.963823276532025,861,855.9735413612347,5.026458638765348,6,8.55922427805363,-2.5592242780536303,914,816.9813678285666,97.01863217143341,1667,1709.937364637767,-42.937364637766905,716,745.8230992133772,-29.82309921337719,1.73,1.975,-0.2450000000000001
75,1.28,1.289234497998554,-0.009234497998553914,812,878.6640687167078,-66.66406871670779,869,876.1008633094305,-7.100863309430451,8,8.827120209603207,-0.8271202096032066,919,835.2714463127849,83.72855368721514,1681,1754.7649320261382,-73.76493202613824,500,843.5807140219117,-343.5807140219117,1.76,2.0,-0.24
76,1.289,1.3198476818272848,-0.030847681827284923,813,894.6834411825464,-81.6834411825464,872,889.5839296241379,-17.58392962413791,6,9.121487537060624,-3.1214875370606237,917,845.1906695076,71.80933049240002,1685,1784.2673708066843,-99.26737080668431,571,896.7441611227493,-325.74416112274935,1.79,2.0,-0.20999999999999996
77,1.303,1.3319069747496146,-0.028906974749614678,822,906.6945896760714,-84.69458967607136,882,900.0128622631448,-18.012862263144825,7,9.394156031027364,-2.3941560310273644,926,851.3483323900064,74.65166760999364,1705,1806.707451939216,-101.70745193921607,583,957.6569584582029,-374.6569584582029,1.8,2.0,-0.19999999999999996
78,1.317,1.3456508161840106,-0.028650816184010663,830,918.7703133653281,-88.7703133653281,891,910.4983687492096,-19.49836874920959,9,9.899704557447029,-0.8997045574470288,933,857.6646798190941,75.33532018090591,1721,1829.2686821145376,-108.26868211453757,759,1050.8524668675695,-291.85246686756955,1.8,2.0,-0.19999999999999996
79,1.333,1.3874843641744667,-0.05448436417446678,836,946.015820639664,-110.01582063966396,900,932.4957692739271,-32.49576927392707,12,10.67957537956304,1.3204246204369596,938,878.3566604084234,59.64333959157659,1736,1878.5115899135913,-142.51158991359125,917,1138.5369181110314,-221.53691811103135,1.8,2.0,-0.19999999999999996
80,1.352,1.4319694030851635,-0.07996940308516343,846,980.6319545822847,-134.63195458228472,911,960.0615310224142,-49.061531022414215,16,11.518230863913224,4.4817691360867755,948,905.8814562153236,42.118543784676376,1758,1940.6934856046987,-182.6934856046987,1051,1224.80829481087,-173.80829481086994,1.8,2.0,-0.19999999999999996
81,1.367,1.471844348529206,-0.1048443485292061,854,1012.3321040040361,-158.33210400403607,921,985.4178886080329,-64.41788860803285,8,12.455386006077692,-4.455386006077692,954,930.5640077566618,23.435992243338205,1774,1997.749992612069,-223.74999261206904,1187,1317.5684597454947,-130.5684597454947,1.8,2.0,-0.19999999999999996
82,1.353,1.4653191974057995,-0.11231919740579954,845,1006.7452466083915,-161.74524660839154,918,982.7402619106099,-64.74026191060989,12,13.525456470203219,-1.5254564702032187,941,920.719561813771,20.28043818622905,1763,1989.4855085190015,-226.48550851900154,1201,1391.128849926527,-190.12884992652698,1.8,2.0,-0.19999999999999996
83,1.344,1.4592513142688304,-0.11525131426883028,838,1002.5737249597036,-164.57372495970355,914,981.1456373772245,-67.14563737722449,17,14.71547638927157,2.2845236107284297,933,912.5072505657698,20.492749434230177,1752,1983.719362336928,-231.71936233692804,1409,1335.6905398198444,73.30946018015561,1.8,2.0,-0.19999999999999996
84,1.344,1.4766767325469121,-0.13267673254691204,838,1017.0590785160817,-179.05907851608174,914,993.494135745844,-79.494135745844,17,16.03680929062601,0.9631907093739898,933,921.5834285828,11.416571417199975,1752,2010.5532142619259,-258.55321426192586,1409,1314.259883191971,94.74011680802892,1.8,2.0,-0.19999999999999996
