*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:29:39

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 2015 001    93    84   2737  5.6187  0.2948  4.0950  0.9260  0.7094 0.02978  4.175  6.555 17.806 16.703  4.5594  3.6532 59.2327

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:29:44

*RUN   2        : Radiance                  CRGRO048 UFBA1601    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1601 SR 2016 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 2016 282     9     0    175  0.0000  0.0220  0.0143  0.0060  0.0000 0.00000  3.916  7.824 28.802 25.698  0.0000  0.0000  0.0000
 2016 283    10     1    175  0.1573  0.0148  0.0830  0.0107  0.0793 0.00000  3.872  7.705 28.275 24.162  0.0000  0.0000  0.0000
 2016 284    11     2    183  1.7193  0.0189  1.0405  0.3863  0.1224 0.00000  3.849  7.581 25.758 21.823  0.0000  0.0000  0.0000
 2016 285    12     3    191  1.4246  0.0203  0.9712  0.2683  0.1224 0.00000  3.821  7.456 25.886 22.789  0.0000  0.0000  0.0000
 2016 286    13     4    200  1.6562  0.0202  1.0933  0.3230  0.1470 0.00000  3.793  7.348 27.399 23.956  0.0000  0.0000  0.0000
