*Fresh Weight Output File

!----------------------------
! Variable Descriptions (unit)
!----------------------------
!YEAR  Year of current date of simulation
!DOY  Day of year (d)
!DAS  Days after start of simulation (d)
!PDMCD  Dry matter con. of harvested product (fraction)
!AFPWD  Average fresh fruit (pod, ear) weight (g/fruit)
!ADPWD  Average dry fruit (pod, ear) weight (g/fruit)
!PAGED  Age of oldest pod or ear (days)
!XMAGE  Required pod age for Multi-Harvest (days)
!TOSDN  Total Number of seeds (#/ha)
!TOWSD  Total Seed mass (kg/ha)
!TOSHN  Total Number of shells (#/ha)
!TOWSH  Total Shell mass (kg/ha)
!TOPOW  Total pod weight (kg/ha)
!TOFPW  Total pod (ear) fresh weight (kg/ha)
!MTFPW  Fresh weight of mature fruits (kg/ha)
!MTDPW  Dry weight of mature fruits (sd and sh)(kg/ha)
!MTDSD  Seed mass of mature fruits (kg/ha)
!MTDSH  Shell mass of mature fruits (kg/ha)
!HSHELWT  Harvested shell weight (kg/ha)
!HSDWT  Harvested seed weight (kg/ha)
!HPODWT  Harvested pod weight (kg/ha)
!HFPOW  Harvested fresh pod weight (kg/ha)
!CPODN  Cum. pod weight (kg/ha)
!CMFNM  Cum. mature fruit number (#)
!CHPDT  Cum. har. pod weight of mat. fruits (kg/ha)
!CHFPW  Cum. har. fresh weight of mat. fruits (kg/ha)
!CHNUM  Cum. harvest number (#)

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:29:39

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP    PDMCD    AFPWD    ADPWD    PAGED    XMAGE    CHNUM    TOSHN    TOWSH    MTDSH    HSHEL    TOPOW    HPODW    CHPDT    CPODN    TOFPW    MTFPW    MTDPW    HFPOW    CHFPW    CMFNM    TOSDN    TOWSD    MTDSD    HSDWT
 2017 317    44    35      0.2      0.8      0.1      3.4     10.0        0      0.7      0.8      0.0      0.0      0.8      0.0      0.0        0        5      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
 2017 318    45    36      0.2      1.0      0.2      4.2     10.0        0      1.0      1.5      0.0      0.0      1.5      0.0      0.0        0        9      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
 2017 319    46    37      0.2      1.2      0.2      5.1     10.0        0      1.2      2.3      0.0      0.0      2.3      0.0      0.0        0       14      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
 2017 320    47    38      0.2      2.2      0.3      5.9     10.0        0      1.3      4.4      0.0      0.0      4.4      0.0      0.0        0       27      0.0      0.0      0.0      0.0        0     17.1      0.0      0.0      0.0
 2017 321    48    39      0.2      2.8      0.5      6.7     10.0        0      1.3      5.9      0.0      0.0      6.0      0.0      0.0       10       37      0.0      0.0      0.0      0.0        0     48.2      0.1      0.0      0.0
 2017 322    49    40      0.2      3.8      0.6      7.5     10.0        0      1.4      8.1      0.0      0.0      8.3      0.0      0.0       20       52      0.0      0.0      0.0      0.0        0     69.4      0.2      0.0      0.0
 2017 323    50    41      0.2      4.9      0.8      8.3     10.0        0      1.4     10.9      0.0      0.0     11.4      0.0      0.0       30       71      0.0      0.0      0.0      0.0        0    101.8      0.5      0.0      0.0
 2017 324    51    42      0.2      5.9      0.9      8.9     10.0        0      1.5     13.4      0.0      0.0     14.2      0.0      0.0       40       89      0.0      0.0      0.0      0.0        0    147.9      0.8      0.0      0.0
 2017 325    52    43      0.2      7.4      1.2      9.8     10.0        0      1.7     18.4      0.0      0.0     19.7      0.0      0.0       60      123      0.0      0.0      0.0      0.0        0    188.2      1.3      0.0      0.0
 2017 326    53    44      0.2      8.7      1.4     10.7     10.0        1      1.9     23.8      0.0      0.0     25.9      0.0      0.0       90      162      0.0      0.0      0.0      0.0        0    198.5      2.1      0.0      0.0
 2017 327    54    45      0.2      9.7      1.5     11.5     10.0        1      2.1     30.0      3.5      0.0     33.0      0.0      0.0      120      206     24.9      4.0      0.0      0.0        0    212.4      3.0      0.4      0.0
 2017 328    55    46      0.2     10.2      1.6     12.5     10.0        1      2.5     36.8     11.0      0.0     40.6      0.0      0.0      160      254     77.3     12.4      0.0      0.0        0    224.0      3.8      1.3      0.0
 2017 329    56    47      0.2     10.5      1.7     13.2     10.0        1      2.7     41.7     15.9      0.0     46.2      0.0      0.0      210      289    111.9     17.9      0.0      0.0        0    257.7      4.5      2.0      0.0
