*Fresh Weight Output File

!----------------------------
! Variable Descriptions (unit)
!----------------------------
!YEAR  Year of current date of simulation
!DOY  Day of year (d)
!DAS  Days after start of simulation (d)
!PDMCD  Dry matter con. of harvested product (fraction)
!AFPWD  Average fresh fruit (pod, ear) weight (g/fruit)
!ADPWD  Average dry fruit (pod, ear) weight (g/fruit)
!PAGED  Age of oldest pod or ear (days)
!XMAGE  Required pod age for Multi-Harvest (days)
!TOSDN  Total Number of seeds (#/ha)
!TOWSD  Total Seed mass (kg/ha)
!TOSHN  Total Number of shells (#/ha)
!TOWSH  Total Shell mass (kg/ha)
!TOPOW  Total pod weight (kg/ha)
!TOFPW  Total pod (ear) fresh weight (kg/ha)
!MTFPW  Fresh weight of mature fruits (kg/ha)
!MTDPW  Dry weight of mature fruits (sd and sh)(kg/ha)
!MTDSD  Seed mass of mature fruits (kg/ha)
!MTDSH  Shell mass of mature fruits (kg/ha)
!HSHELWT  Harvested shell weight (kg/ha)
!HSDWT  Harvested seed weight (kg/ha)
!HPODWT  Harvested pod weight (kg/ha)
!HFPOW  Harvested fresh pod weight (kg/ha)
!CPODN  Cum. pod weight (kg/ha)
!CMFNM  Cum. mature fruit number (#)
!CHPDT  Cum. har. pod weight of mat. fruits (kg/ha)
!CHFPW  Cum. har. fresh weight of mat. fruits (kg/ha)
!CHNUM  Cum. harvest number (#)

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 12, 2025 18:04:53

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      :
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP    PDMCD    AFPWD    ADPWD    PAGED    XMAGE    CHNUM    TOSHN    TOWSH    MTDSH    HSHEL    TOPOW    HPODW    CHPDT    CPODN    TOFPW    MTFPW    MTDPW    HFPOW    CHFPW    CMFNM    TOSDN    TOWSD    MTDSD    HSDWT
 2014 331    58    49      0.2     13.6      2.2     14.4     10.0        1      2.7     51.7     32.3      0.0     57.9      0.0     36.3      610      362    229.3     36.7      0.0    227.1        5    290.2      6.2      4.3      0.0
 2014 332    59    50      0.2     13.8      2.2     14.8     10.0        1      2.8     54.0     33.1      0.0     60.6      0.0     36.3      670      379    235.3     37.6      0.0    227.1        6    290.2      6.6      4.5      0.0
 2014 333    60    51      0.2     14.7      2.3     15.3     10.0        1      2.8     58.0     42.7      0.0     65.2      0.0     36.3      740      408    304.1     48.7      0.0    227.1        7    321.5      7.3      6.0      0.0
 2014 334    61    52      0.2     15.3      2.4     16.1     10.0        1      2.9     63.5     47.2      0.0     71.9      0.0     36.3      810      449    338.7     54.2      0.0    227.1        8    342.9      8.4      7.0      0.0
 2014 335    62    53      0.2     15.4      2.5     17.0     10.0        2      3.2     68.3     49.2     49.2     78.0     57.2     93.5      890      487    357.4     57.2    357.4    584.5        9    354.3      9.7      8.0      8.0
 2014 336    63    54      0.2      7.4      1.2     17.9     10.0        2      2.2     24.3      2.8      0.0     26.6      0.0     93.5      920      166     19.5      3.1      0.0    584.5        9    170.3      2.3      0.4      0.0
 2014 337    64    55      0.2      8.2      1.3     18.8     10.0        2      2.6     30.7     10.0      0.0     33.8      0.0     93.5      950      211     70.2     11.2      0.0    584.5        9    231.8      3.0      1.3      0.0
 2014 338    65    56      0.2      8.0      1.3     19.6     10.0        3      3.3     38.0     15.6     15.6     41.9     17.7    111.2      990      262    110.5     17.7    110.5    695.0        9    264.9      4.0      2.1      2.1
 2014 339    66    57      0.2      5.9      0.9     20.5     10.0        3      3.4     29.7      3.1      0.0     32.4      0.0    111.2     1020      203     21.6      3.5      0.0    695.0        9    228.8      2.7      0.4      0.0
 2014 340    67    58      0.2      6.7      1.1     21.3     10.0        3      3.9     38.1     10.0      0.0     41.7      0.0    111.2     1060      261     70.7     11.3      0.0    695.0        9    267.1      3.6      1.3      0.0
 2014 341    68    59      0.2      7.2      1.1     22.2     10.0        3      4.5     46.8     15.3      0.0     51.4      0.0    111.2     1110      321    109.0     17.4      0.0    695.0        9    299.8      4.7      2.1      0.0
 2014 342    69    60      0.2      7.8      1.2     23.1     10.0        4      4.9     55.2     18.2     18.2     60.9     20.9    132.1     1170      381    130.5     20.9    130.5    825.5        9    370.0      5.7      2.7      2.7
 2014 343    70    61      0.2      6.0      1.0     23.8     10.0        4      5.1     44.7      4.5      0.0     48.4      0.0    132.1     1220      303     31.9      5.1      0.0    825.5        9    291.0      3.7      0.6      0.0
 2014 344    71    62      0.2      6.3      1.0     24.2     10.0        4      5.3     48.8     11.8      0.0     53.0      0.0    132.1     1270      331     83.2     13.3      0.0    825.5        9    398.5      4.2      1.5      0.0
 2014 345    72    63      0.2      6.8      1.1     24.7     10.0        5      5.4     54.5     17.3     17.3     59.3     19.5    151.6     1330      371    121.8     19.5    121.8    947.3        9    398.5      4.8      2.2      2.2
 2014 346    73    64      0.2      5.2      0.8     25.0     10.0        5      5.1     39.6      2.6      0.0     42.6      0.0    151.6     1370      266     18.1      2.9      0.0    947.3        9    394.7      3.0      0.3      0.0
 2014 347    74    65      0.2      5.9      0.9     25.5     10.0        5      5.3     46.0      6.4      0.0     49.7      0.0    151.6     1420      311     45.1      7.2      0.0    947.3        9    394.7      3.7      0.8      0.0
